ans_sum,curr,title
"[['非系统风险'], ['可以用β系数来衡量的风险'], ['系统风险'], ['可分散风险']]","正确答案：,C ",（ ）源于各个公司的外部因素，如国家经济的变化、战争、世界能源储量的变化等。
"[['（P/F,12%,5）=0.5674'], ['（F/A, 12%,5）=6.3525'], ['（P/A, 12%,5）=3.6050'], ['（A/P, 12%,5）=0.2774']]","正确答案：,A ,B ,C ,D ","如果（F/P,12%,5）=1.7623，则下述系数正确的有（　）。"
"[['市场风险'], ['公司特有风险'], ['非系统风险'], ['系统风险']]","正确答案：,B ,C ",证券投资的收益率由无风险收益率和风险收益率组成。证券投资组合能够分散（ ）。
"[['一项资产虽然预期收益率低，但风险水平也高'], ['一项资产虽然预期收益率低，但风险水平也低'], ['一项资产具有较高的预期收益率同时也具有较高的风险水平'], ['一项资产具有较高的预期收益率，但风险水平低']]","正确答案：,B ,C ",当面临以下这样两种资产时，风险回避者的选择就要取决于他们对待风险的不同态度：（ ）。
"[['一个事件的概率是指这一事件的某种后果可能发生的几率。'], ['随机事件发生的可能性越大，概率就越大。'], ['必然发生事件的概率为1，完全不可能发生事件的概率为0'], ['大多数随机事件发生的概率介于0～1。']]","正确答案：,A ,B ,C ,D ",下列关于概率的说法正确的是（ ）。
"[['市场是均衡的'], ['预期收益率高于必要收益率'], ['预期收益率等于必要收益率'], ['只有系统风险才有资格要求补偿']]","正确答案：,B ",在资本资产定价模型的理论框架下不正确的表述是( )。
"[['标准离差率'], ['标准差'], ['期望值'], ['方差']]","正确答案：,C ",下列选项中，可以表示一定风险下的收益情况的是（ ）。
"[['√'], ['×']]","正确答案：,B ",每一个随机变量的概率最小为0，最大为1，不可能小于0，也不可能大于1，全部概率之和可以等于1，也可以不等于1。
"[['√'], ['×']]","正确答案：,A ",通过分散投资，非系统风险可以被降低，而且如果分散是充分有效的，甚至可以消除这一风险。
"[['国家经济的变化'], ['战争的发生'], ['世界能源储量的变化'], ['被投资企业出现财务危机']]","正确答案：,D ",下列因素引起的风险中，投资者可以通过资产组合予以消减的是（ ）。
"[['投资结构风险'], ['现金风险'], ['投资项目风险'], ['投资组合风险']]","正确答案：,A ,C ,D ",下列风险中取决于投资的行业和投资时间长短的是（　　）。
"[['√'], ['×']]","正确答案：,A ",某一债券面值为100元，期限为5年，以贴现方式发行，期内不计利息，到期按面值偿还，发行时的市场利率为8%。若该债券发行价为70元，则不值得购买。（  ）
"[['4%'], ['0.24%'], ['0.16%'], ['0.80%']]","正确答案：,C ",一项500万元的借款，借款期5年，年利率为8%，若每年半年复利一次，年实际利率会高出名义利率
"[['√'], ['×']]","正确答案：,A ",单个股票的预期报酬率应当等于市场对无风险投资所要求的收益率加上风险溢价。
"[['√'], ['×']]","正确答案：,B ",张某将5万元现金存入银行，已知银行存款年利率为8%，那么10年后的本利和为10.79万元
"[['市场风险'], ['不可分散风险'], ['系统风险'], ['公司特有风险']]","正确答案：,D ",从公司本身的角度来看，经营风险和财务风险属于（ ）。
"[['√'], ['×']]","正确答案：,B ",“现值”和“终值”两个概念表示相同时期的资金时间价值。
"[['在组合投资中，除了组合中各单个资产的个别风险外，资产相互之间也会产生各种关系。'], ['进行组合投资的目的就是通过多样化经营以减少风险。'], ['与单一投资相对应，人们将投资于两种或两种以上资产的投资称为组合投资。'], ['投资组合中资产的种类越多越好。']]","正确答案：,A ,B ,C ",关于组合投资，下列说法正确的是（ ）。
"[['收益分配风险'], ['公司特有的风险'], ['投资风险'], ['市场风险']]","正确答案：,B ,D ",风险从个别投资主体的角度看可分为
"[['√'], ['×']]","正确答案：,A ",财务活动是指企业再生产过程中的资金运动，即筹集、运用和分配资金的活动
